linkedinID,name_lnkd,industry_lnkd,type_lnkd,size_lnkd,founded_lnkd,website_lnkd,hqcity_lnkd,hqstate_lnkd,hqzip_lnkd,hqcountry_lnkd,specialties_lnkd,description_lnkd
3red-trading,3Red Trading,Financial Services,Privately Held,11-50 employees,2011,http://www.3redgroup.com/,Chicago,IL,60605,United States,,"3Red is a proprietary trading startup headquartered in the Chicago Loop, with a presence in New York. Weêre committed to leveraging technology and math to implement competitive trading strategies while managing risk and responding to dynamic market conditions. Technology and quantitative ingenuity are at our core. We hire extremely bright, talented, and motivated individuals to collaborate with each other and compete in the worldês financial markets. Our team has extensive, global experience in a wide variety of asset classes, risk management, and simple and complex technologies. Dedicated Technologists create all of our trading architecture, risk management systems, and software in-house. Algorithmic Traders extract information from a ton of data and leverage mathematical modeling to build automated trading algorithms."
accenture,Accenture,Information Technology and Services,Public Company,"10,001+ employees",1989,http://www.accenture.com,"Dublin 2,",,,Ireland,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing, Application and Infrastructure Outsourcing","Accenture is a global management consulting, technology services and outsourcing company, with more than 319,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the worldês most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments. The company generated net revenues of US$30.0 billion for the fiscal year ended Aug. 31, 2014. Its home page is www.accenture.com."
alcatel-lucent,Alcatel-Lucent,Telecommunications,Public Company,"10,001+ employees",2006,http://www.alcatel-lucent.com,,,92100,France,"Communications, Networks, Internet, Broadband, Optics, Cloud, Mobile, IP","Alcatel-Lucent is the leading IP networking, ultra-broadband access and cloud technology specialist. We are dedicated to making global communications more innovative, sustainable and accessible for people, businesses and governments worldwide. Our mission is to invent and deliver trusted networks to help our customers unleash their value. Every success has its network."
allstate,Allstate,Insurance,Public Company,"10,001+ employees",1931,http://al.st/WelcomeLI,Northbrook,IL,60062,United States,"Auto Insurance, Life Insurance, Retirement Planning, Homeowners Insurance, Motorcycle Insurance, Boat Insurance, RV Insurance, Bundled Insurance, Renter's Insurance, Flood Insurance, Roadside Assistance, General Liability, Annuities, & More","We are the Good Hands: We help people realize their hopes and dreams through products and services designed to protect them from lifeÍs uncertainties and to prepare them for the future. The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America. Allstate was founded in 1931 and became a publicly traded company in 1993. Allstate offers car insurance, home, property, condo and renters insurance, plus insurance for recreational vehicles like motorcycles, boats and more. The Allstate family of companies offers financial products including IRAs, 529k plans for college saving, retirement planning and a range of life insurance products including term life and whole life."
altec,Altec,Machinery,Privately Held,1001-5000 employees,1929,http://www.altec.com,Birmingham,AL,35242,United States,"Aerial Platforms, Digger Derricks, Telescopic Cranes, Hotline Insulator Washers, Truck Bodies- Steel, Aluminum, Fiberglass, Environmental Products - Chippers, Parts, Leasing, Rental and Financing, Service, Used Equipment, Supply","Altec is a leading provider of products and services to the electric utility, telecommunications and contractor markets. We provide products and services in over 100 countries throughout the world. Altec, Inc. is the holding company for Altec Industries, Global Rental, National Utility Equipment Company, Altec Worldwide, Altec Capital and Altec Ventures, LLC. For over 80 years, Altec has been a company committed to excellence. Our products are the industry leaders and are consistently raising the bar through innovative product design, integrated safety features, and continued dedication to total customer satisfaction."
amcor-flexibles,Amcor Flexibles Europe & Americas,Packaging and Containers,Public Company,"10,001+ employees",,http://www.amcor.com,Zurich,,CH-8050,Switzerland,,"Millions of times a day people all around the world touch our packaging. You would be surprised how often you have interacted with our products. Whether itês putting a capsule in your coffee machine to start a new day, enjoying a tasty mouthful of yogurt with your breakfast, or soothing a minor cut or burn with a band-aid, at Amcor, we package moments that matter. Headquartered in Zurich, Switzerland, Amcor Flexibles Europe & Americas is 12,000 co-workers strong, located in 68 plants across 21 countries making us Amcorês largest business group. Our dedication in applying art and science to create responsible packaging has the most recognisable global brands working with us. We invent solutions for them because we have the talented people that can accomplish anything. You can count on working in a highly focused, collaborative environment. We value teamwork, and you'll be working along side inspired colleagues that youêd expect to find in a leading international company. As the industry leader, we focus on recruiting, retaining and developing the best talent from around the world. Our people are, and will continue to be, the foundation of our success. Join us in our journey."
asahi-kasei-bioprocess,Asahi Kasei Bioprocess,Biotechnology,Public Company,11-50 employees,,http://www.ak-bio.com,Glenview,IL,60026,United States,"Virus Filtration, Chromatography Columns & Media, Downstream Bioprocessing, IBDÈ In-Line Buffer Dilution Systems, Oligonucleotide Synthesis and Synthesizers","Asahi Kasei Bioprocess provides consumables, equipment, and customized systems for downstream processing of biological and plasma-derived products. Backed by an innate proficiency in applied science & technology and the rich history of PlanovaÈ virus-removal filters, our robust approach is defined by quality, consistency, and scalability."
at&t,AT&T,Telecommunications,Public Company,"10,001+ employees",1876,http://www.att.com,Dallas,TX,75202,United States,"Wireless Services, U-Verse, Enterprise Applications & Managed Hosting Solutions","We understand that our customers want an easier, less complicated life. Weêre using our network, labs, products, services and people to create a world where everything works together seamlessly, and life is better as a result. How will we continue to drive for this excellence in innovation? With you. Our people, and their passion to succeed, are at the heart of what we do. Today, weêre poised to connect millions of people with their world, delivering the human benefits of technology in ways that defy the imaginable. What are you dreaming of doing with your career? Find stories about our talent, career advice, opportunities, company news, and innovations here on LinkedIn. To learn more about joining AT&T, visit: http://www.att.jobs To explore AT&T Labs, Foundry, and more, visit: https://www.linkedin.com/company/at&tinnovation To follow AT&T Small Business community, visit: https://bizcircle.att.com"
beghou-consulting,Beghou Consulting,Management Consulting,Privately Held,51-200 employees,1993,http://www.beghouconsulting.com,Evanston,IL,60201,United States,,"Beghou Consulting provides sales force and marketing consulting services to clients in the pharmaceutical and health care industries. We bring significant expertise in addressing sales and marketing issues and in developing advanced analytic approaches to support our clients' decision-making. We pride ourselves on our growing list of long-term clients, for whom we deliver an increasing array of services and analyses. Our clients are developing and launching innovative, high-profile products, and as such require a partner that provides similarly innovative insights and processes to support their sales force and marketing management."
boeing,Boeing,Aviation & Aerospace,Public Company,"10,001+ employees",,http://www.boeing.com,,,,,,"Boeing, headquartered in Chicago, is the worldês largest aerospace company and leading manufacturer of commercial jetliners and defense, space and security systems. Our over 170,000 professionals design and manufacture rotorcraft, electronic and defense systems, launch systems, advanced information and communication systems, and performance-based logistics and training for airlines and U.S. and allied government customers in more than 90 countries. Our team represents one of the most diverse, talented, and innovative workforces that you will find anywhere. More than 140,000 of our people hold college degrees in virtually every business and technical field from approximately 2,700 colleges and universities worldwideãincluding nearly 35,000 advanced degrees."
carefusion,CareFusion,Medical Devices,Public Company,"10,001+ employees",2009,http://www.carefusion.com/,"San Diego,",CA,92130,United States,"Medication Management, Infusion, Respiratory Care, Infection Prevention, Procedural Solutions","CareFusion is a global corporation serving the health care industry with products and services that help improve the cost and safety of health care for generations to come. The company develops market-leading technologies including AlarisÂ infusion pumps, PyxisÂ automated dispensing and patient identification systems, AVEAÂ, AirLifeÈ and LTVÂ series ventilation and respiratory products, ChloraPrepÂ skin preparation products, MedMinedÈ services for data mining surveillance, V. MuellerÂ surgical instruments and an extensive line of products that support interventional medicine. CareFusion employs more than 15,000 people across its global operations."
